,fips,statefips,round,countyname,State,Applicant,City
0,56025,56,148.75,Natrona,Wyoming,,
1,1101,1,53.42,Montgomery,Alabama,,
2,40109,40,84.58,Oklahoma,Oklahoma,,
3,5115,5,75.83,Pope,Arkansas,,
4,20189,20,69.17,Stevens,Kansas,,
5,48139,48,105.42,Ellis,Texas,,
6,16027,16,104.08,Canyon,Idaho,,
7,17029,17,57.92,Coles,Illinois,,
8,4027,4,99.33,Yuma,Arizona,,
9,47131,47,44.75,Obion,Tennessee,,
10,26161,26,178.0,Washtenaw,Michigan,,
11,4003,4,83.0,Cochise,Arizona,,
12,31131,31,90.92,Otoe,Nebraska,,
13,42099,42,100.33,Perry,Pennsylvania,,
14,12019,12,100.33,Clay,Florida,,
15,1123,1,71.58,Tallapoosa,Alabama,,
16,45057,45,93.0,Lancaster,South Carolina,,
17,6111,6,333.58,Ventura,California,,
18,28071,28,107.17,Lafayette,Mississippi,,
19,55101,55,90.92,Racine,Wisconsin,,
20,48193,48,63.58,Hamilton,Texas,,
21,13159,13,79.25,Jasper,Georgia,,
22,51550,51,132.0,Chesapeake City,Virginia,,
23,33017,33,144.0,Strafford,New Hampshire,,
24,6089,6,159.0,Shasta,California,,
25,40039,40,83.42,Custer,Oklahoma,,
26,39029,39,71.58,Columbiana,Ohio,,
27,40053,40,61.0,Grant,Oklahoma,,
28,51610,51,420.67,Falls Church City,Virginia,,
29,25015,25,168.75,Hampshire,Massachusetts,,
30,13177,13,81.75,Lee,Georgia,,
31,26107,26,72.5,Mecosta,Michigan,,
32,6083,6,383.08,Santa Barbara,California,,
33,37119,37,114.08,Mecklenburg,North Carolina,,
34,29221,29,84.0,Washington,Missouri,,
35,1117,1,135.0,Shelby,Alabama,,
36,41003,41,187.67,Benton,Oregon,,
37,26121,26,85.0,Muskegon,Michigan,,
38,28137,28,83.33,Tate,Mississippi,,
39,49057,49,149.5,Weber,Utah,,
40,36045,36,90.17,Jefferson,New York,,
41,48367,48,116.92,Parker,Texas,,
42,42089,42,87.08,Monroe,Pennsylvania,,
43,39157,39,83.67,Tuscarawas,Ohio,,
44,40133,40,48.17,Seminole,Oklahoma,,
45,36037,36,77.75,Genesee,New York,,
46,44007,44,165.83,Providence,Rhode Island,,
47,41033,41,165.0,Josephine,Oregon,,
48,51019,51,119.5,Bedford,Virginia,,
49,28045,28,84.92,Hancock,Mississippi,,
50,20145,20,53.17,Pawnee,Kansas,,
51,18087,18,93.5,Lagrange,Indiana,,
52,28091,28,60.33,Marion,Mississippi,,
53,22069,22,92.0,Natchitoches,Louisiana,,
54,42101,42,105.25,Philadelphia,Pennsylvania,,
55,51111,51,69.92,Lunenburg,Virginia,,
56,12015,12,122.5,Charlotte,Florida,,
57,8041,8,137.67,El Paso,Colorado,,
58,39129,39,98.25,Pickaway,Ohio,,
59,13073,13,91.0,Columbia,Georgia,,
60,20095,20,57.83,Kingman,Kansas,,
61,9011,9,147.0,New London,Connecticut,,
62,21173,21,76.83,Montgomery,Kentucky,,
63,26087,26,106.67,Lapeer,Michigan,,
64,27109,27,162.83,Olmsted,Minnesota,,
65,8015,8,222.67,Chaffee,Colorado,,
66,30009,30,161.5,Carbon,Montana,,
67,51085,51,137.67,Hanover,Virginia,,
68,42019,42,125.17,Butler,Pennsylvania,,
69,31055,31,113.83,Douglas,Nebraska,,
70,6079,6,344.75,San Luis Obispo,California,,
71,6015,6,131.25,Del Norte,California,,
72,22097,22,76.08,Saint Landry,Louisiana,,
73,5085,5,84.75,Lonoke,Arkansas,,
74,31177,31,123.5,Washington,Nebraska,,
75,26115,26,91.08,Monroe,Michigan,,
