fips,statefips,round,countyname,statename
56025,56,148.75,Natrona,Wyoming
1101,1,53.42,Montgomery,Alabama
40109,40,84.58,Oklahoma,Oklahoma
5115,5,75.83,Pope,Arkansas
20189,20,69.17,Stevens,Kansas
48139,48,105.42,Ellis,Texas
16027,16,104.08,Canyon,Idaho
17029,17,57.92,Coles,Illinois
4027,4,99.33,Yuma,Arizona
47131,47,44.75,Obion,Tennessee
26161,26,178.00,Washtenaw,Michigan
4003,4,83.00,Cochise,Arizona
31131,31,90.92,Otoe,Nebraska
42099,42,100.33,Perry,Pennsylvania
12019,12,100.33,Clay,Florida
1123,1,71.58,Tallapoosa,Alabama
45057,45,93.00,Lancaster,South Carolina
6111,6,333.58,Ventura,California
28071,28,107.17,Lafayette,Mississippi
55101,55,90.92,Racine,Wisconsin
48193,48,63.58,Hamilton,Texas
13159,13,79.25,Jasper,Georgia
51550,51,132.00,Chesapeake City,Virginia
33017,33,144.00,Strafford,New Hampshire
6089,6,159.00,Shasta,California
40039,40,83.42,Custer,Oklahoma
39029,39,71.58,Columbiana,Ohio
40053,40,61.00,Grant,Oklahoma
51610,51,420.67,Falls Church City,Virginia
25015,25,168.75,Hampshire,Massachusetts
13177,13,81.75,Lee,Georgia
26107,26,72.50,Mecosta,Michigan
6083,6,383.08,Santa Barbara,California
37119,37,114.08,Mecklenburg,North Carolina
29221,29,84.00,Washington,Missouri
1117,1,135.00,Shelby,Alabama
41003,41,187.67,Benton,Oregon
26121,26,85.00,Muskegon,Michigan
28137,28,83.33,Tate,Mississippi
49057,49,149.50,Weber,Utah
36045,36,90.17,Jefferson,New York
48367,48,116.92,Parker,Texas
42089,42,87.08,Monroe,Pennsylvania
39157,39,83.67,Tuscarawas,Ohio
40133,40,48.17,Seminole,Oklahoma
36037,36,77.75,Genesee,New York
44007,44,165.83,Providence,Rhode Island
41033,41,165.00,Josephine,Oregon
51019,51,119.50,Bedford,Virginia
28045,28,84.92,Hancock,Mississippi
20145,20,53.17,Pawnee,Kansas
18087,18,93.50,Lagrange,Indiana
28091,28,60.33,Marion,Mississippi
22069,22,92.00,Natchitoches,Louisiana
42101,42,105.25,Philadelphia,Pennsylvania
51111,51,69.92,Lunenburg,Virginia
12015,12,122.50,Charlotte,Florida
8041,8,137.67,El Paso,Colorado
39129,39,98.25,Pickaway,Ohio
13073,13,91.00,Columbia,Georgia
20095,20,57.83,Kingman,Kansas
9011,9,147.00,New London,Connecticut
21173,21,76.83,Montgomery,Kentucky
26087,26,106.67,Lapeer,Michigan
27109,27,162.83,Olmsted,Minnesota
8015,8,222.67,Chaffee,Colorado
30009,30,161.50,Carbon,Montana
51085,51,137.67,Hanover,Virginia
42019,42,125.17,Butler,Pennsylvania
31055,31,113.83,Douglas,Nebraska
6079,6,344.75,San Luis Obispo,California
6015,6,131.25,Del Norte,California
22097,22,76.08,Saint Landry,Louisiana
5085,5,84.75,Lonoke,Arkansas
31177,31,123.50,Washington,Nebraska
26115,26,91.08,Monroe,Michigan
40013,40,74.33,Bryan,Oklahoma
47061,47,52.00,Grundy,Tennessee
55039,55,77.75,Fond du Lac,Wisconsin
51790,51,113.00,Staunton City,Virginia
13039,13,93.08,Camden,Georgia
20087,20,83.08,Jefferson,Kansas
27161,27,112.17,Waseca,Minnesota
18071,18,79.08,Jackson,Indiana
35031,35,82.67,McKinley,New Mexico
13069,13,57.58,Coffee,Georgia
31079,31,118.25,Hall,Nebraska
8075,8,99.08,Logan,Colorado
27095,27,121.25,Mille Lacs,Minnesota
28097,28,52.50,Montgomery,Mississippi
6093,6,122.17,Siskiyou,California
13151,13,80.33,Henry,Georgia
33003,33,137.67,Carroll,New Hampshire
18173,18,85.42,Warrick,Indiana
18129,18,79.50,Posey,Indiana
21137,21,76.08,Lincoln,Kentucky
39085,39,93.92,Lake,Ohio
18155,18,69.42,Switzerland,Indiana
4019,4,116.92,Pima,Arizona
45015,45,114.33,Berkeley,South Carolina
47155,47,114.58,Sevier,Tennessee
36013,36,60.50,Chautauqua,New York
27023,27,42.08,Chippewa,Minnesota
30087,30,156.67,Rosebud,Montana
28117,28,53.17,Prentiss,Mississippi
17197,17,117.25,Will,Illinois
31107,31,59.83,Knox,Nebraska
51093,51,125.08,Isle of Wight,Virginia
47053,47,48.50,Gibson,Tennessee
12035,12,109.92,Flagler,Florida
17095,17,59.92,Knox,Illinois
20079,20,73.67,Harvey,Kansas
5119,5,77.08,Pulaski,Arkansas
39055,39,112.83,Geauga,Ohio
6081,6,816.92,San Mateo,California
13059,13,88.33,Clarke,Georgia
36021,36,142.92,Columbia,New York
18119,18,70.00,Owen,Indiana
34033,34,94.17,Salem,New Jersey
36117,36,80.08,Wayne,New York
17163,17,82.25,Saint Clair,Illinois
42125,42,103.50,Washington,Pennsylvania
17007,17,84.92,Boone,Illinois
26055,26,151.08,Grand Traverse,Michigan
20163,20,54.92,Rooks,Kansas
56041,56,110.08,Uinta,Wyoming
45027,45,67.08,Clarendon,South Carolina
18171,18,54.67,Warren,Indiana
51620,51,63.83,Franklin City,Virginia
29027,29,75.25,Callaway,Missouri
12085,12,153.58,Martin,Florida
48273,48,64.08,Kleberg,Texas
25007,25,469.58,Dukes,Massachusetts
40131,40,82.00,Rogers,Oklahoma
47143,47,77.50,Rhea,Tennessee
18025,18,59.58,Crawford,Indiana
27037,27,218.58,Dakota,Minnesota
29157,29,94.25,Perry,Missouri
18131,18,59.33,Pulaski,Indiana
47099,47,60.17,Lawrence,Tennessee
13071,13,53.67,Colquitt,Georgia
39023,39,77.08,Clark,Ohio
42055,42,95.67,Franklin,Pennsylvania
53061,53,235.00,Snohomish,Washington
12069,12,111.92,Lake,Florida
40019,40,70.00,Carter,Oklahoma
8067,8,235.08,La Plata,Colorado
13277,13,73.08,Tift,Georgia
21021,21,77.08,Boyle,Kentucky
40113,40,69.92,Osage,Oklahoma
6061,6,243.67,Placer,California
6009,6,180.75,Calaveras,California
37113,37,91.33,Macon,North Carolina
46103,46,163.08,Pennington,South Dakota
